pop15,state_number
4858979,1
738432,2
6828065,4
2978204,5
39144818,6
5456574,8
3590886,9
945934,10
672228,11
20271272,12
10214860,13
1431603,15
1654930,16
12859995,17
6619680,18
3123899,19
2911641,20
4425092,21
4670724,22
1329328,23
6006401,24
6794422,25
9922576,26
5489594,27
2992333,28
6083672,29
1032949,30
1896190,31
2890845,32
1330608,33
8958013,34
2085109,35
19795791,36
10042802,37
756927,38
11613423,39
3911338,40
4028977,41
12802503,42
1056298,44
4896146,45
858469,46
6600299,47
27469114,48
2995919,49
626042,50
8382993,51
7170351,53
1844128,54
5771337,55
586107,56
